size(n), Naive, Time1, Time1Last, t1n/t1n-1, n2, Memory, Time2, Time2Last, t2n/t2n-1, Iterative, Time3, Time3Last, t3n/t3n-1
0,,1902.0,0.0,Infinity,0,,2781.0,0.0,Infinity,,1842.0,0.0,Infinity
1,,573.0,1902.0,0.30126182965299686,0,,673.0,2781.0,0.24199928083423228,,255.0,1842.0,0.13843648208469056
2,,809.0,573.0,1.411867364746946,1,,3466.0,673.0,5.150074294205052,,616.0,255.0,2.4156862745098038
3,,1041.0,809.0,1.2867737948084055,2,,1888.0,3466.0,0.5447201384881708,,992.0,616.0,1.6103896103896105
4,,1595.0,1041.0,1.532180595581172,4,,2294.0,1888.0,1.215042372881356,,720.0,992.0,0.7258064516129032
5,,2334.0,1595.0,1.4633228840125392,7,,2066.0,2294.0,0.9006102877070619,,664.0,720.0,0.9222222222222223
6,,1964.0,2334.0,0.8414738646101114,12,,3910.0,2066.0,1.8925459825750242,,721.0,664.0,1.0858433734939759
7,,4627.0,1964.0,2.355906313645621,20,,3383.0,3910.0,0.8652173913043478,,1112.0,721.0,1.5423023578363384
8,,8135.0,4627.0,1.758158634104171,33,,6191.0,3383.0,1.8300325155187702,,1000.0,1112.0,0.8992805755395683
9,,17297.0,8135.0,2.126244622003688,54,,3461.0,6191.0,0.5590373122274269,,1063.0,1000.0,1.063
10,,16637.0,17297.0,0.9618430941781811,88,,6548.0,3461.0,1.8919387460271597,,999.0,1063.0,0.9397930385700847
11,,3568.0,16637.0,0.21446174190058304,143,,4052.0,6548.0,0.6188149053145999,,1087.0,999.0,1.088088088088088
12,,5493.0,3568.0,1.539517937219731,232,,7582.0,4052.0,1.8711747285291214,,1098.0,1087.0,1.0101195952161914
13,,4965.0,5493.0,0.9038776624795194,376,,3070.0,7582.0,0.40490635716169876,,797.0,1098.0,0.7258652094717668
14,,6779.0,4965.0,1.3653575025176234,609,,3060.0,3070.0,0.996742671009772,,785.0,797.0,0.9849435382685069
15,,10659.0,6779.0,1.5723558046909574,986,,3297.0,3060.0,1.0774509803921568,,816.0,785.0,1.0394904458598726
16,,16801.0,10659.0,1.5762266629139694,1596,,3478.0,3297.0,1.0548983924780102,,822.0,816.0,1.0073529411764706
17,,34825.0,16801.0,2.0727932861139218,2583,,4413.0,3478.0,1.2688326624496837,,846.0,822.0,1.0291970802919708
18,,58769.0,34825.0,1.6875520459440057,4180,,3788.0,4413.0,0.8583729888964423,,1259.0,846.0,1.488179669030733
19,,82858.0,58769.0,1.4098929707839167,6764,,6550.0,3788.0,1.729144667370644,,1380.0,1259.0,1.096108022239873
20,,113590.0,82858.0,1.3708996113833305,10945,,8722.0,6550.0,1.3316030534351144,,1278.0,1380.0,0.9260869565217391
21,,189970.0,113590.0,1.6724183466854476,17710,,4649.0,8722.0,0.5330199495528548,,874.0,1278.0,0.6838810641627543
22,,296706.0,189970.0,1.5618571353371584,28656,,10591.0,4649.0,2.278124327812433,,924.0,874.0,1.05720823798627
23,,465555.0,296706.0,1.5690784817293888,46367,,1699.0,10591.0,0.160419223869323,,891.0,924.0,0.9642857142857143
24,,762612.0,465555.0,1.6380706898218256,75024,,1647.0,1699.0,0.9693937610359035,,929.0,891.0,1.042648709315376
25,,1272226.0,762612.0,1.6682480737255643,121392,,2021.0,1647.0,1.2270795385549484,,976.0,929.0,1.0505920344456405
26,,1933478.0,1272226.0,1.5197598539882065,196417,,3600.0,2021.0,1.781296387926769,,2341.0,976.0,2.3985655737704916
27,,3405328.0,1933478.0,1.7612447620298757,317810,,2612.0,3600.0,0.7255555555555555,,1318.0,2341.0,0.5630072618539086
28,,6030362.0,3405328.0,1.7708608392495524,514228,,14415.0,2612.0,5.5187595712098005,,1179.0,1318.0,0.8945371775417299
29,,6795260.0,6030362.0,1.1268411415434099,832039,,2526.0,14415.0,0.1752341311134235,,1094.0,1179.0,0.9279050042408821
30,,4605365.0,6795260.0,0.6777319778786978,1346268,,4285.0,2526.0,1.696357878068092,,2023.0,1094.0,1.8491773308957953
31,,7713064.0,4605365.0,1.674799717286252,2178308,,3501.0,4285.0,0.8170361726954493,,1594.0,2023.0,0.7879387048937222
32,,1.3104563E7,7713064.0,1.6990087207885218,3524577,,4422.0,3501.0,1.2630676949443016,,2405.0,1594.0,1.5087829360100375
33,,1.9359858E7,1.3104563E7,1.4773371687403845,5702886,,4560.0,4422.0,1.0312075983717774,,1801.0,2405.0,0.7488565488565488
34,,3.1343089E7,1.9359858E7,1.6189730833769544,9227464,,18155.0,4560.0,3.981359649122807,,1350.0,1801.0,0.7495835646862854
35,,6.1285219E7,3.1343089E7,1.9553024591800763,14930351,,4399.0,18155.0,0.24230239603415038,,1800.0,1350.0,1.3333333333333333
36,,1.03997454E8,6.1285219E7,1.6969418678262371,24157816,,3157.0,4399.0,0.7176631052511935,,1178.0,1800.0,0.6544444444444445
37,,1.36415532E8,1.03997454E8,1.311719919604955,39088168,,4452.0,3157.0,1.41019955654102,,1785.0,1178.0,1.5152801358234296
38,,2.68242174E8,1.36415532E8,1.9663609419490444,63245985,,5714.0,4452.0,1.283468104222821,,1326.0,1785.0,0.7428571428571429
39,,3.51575903E8,2.68242174E8,1.3106660215183017,102334154,,3671.0,5714.0,0.6424571228561428,,1290.0,1326.0,0.9728506787330317
40,,5.59175177E8,3.51575903E8,1.5904820900083132,165580140,,16625.0,3671.0,4.52873876327976,,1282.0,1290.0,0.993798449612403
41,,8.94725876E8,5.59175177E8,1.600081535808232,267914295,,3150.0,16625.0,0.18947368421052632,,1414.0,1282.0,1.1029641185647425
42,,1.421783109E9,8.94725876E8,1.5890711860891793,433494436,,3697.0,3150.0,1.1736507936507936,,1477.0,1414.0,1.0445544554455446
43,,2.295938673E9,1.421783109E9,1.6148304607548971,701408732,,3444.0,3697.0,0.9315661347038139,,1248.0,1477.0,0.8449559918754231
44,,3.65573085E9,2.295938673E9,1.5922597990055285,1134903169,,6544.0,3444.0,1.900116144018583,,1190.0,1248.0,0.9535256410256411
45,,5.957166273E9,3.65573085E9,1.629541811865061,1836311902,,5236.0,6544.0,0.8001222493887531,,1458.0,1190.0,1.2252100840336135
46,,9.741544267E9,5.957166273E9,1.6352647921130135,2971215072,,8891.0,5236.0,1.698051948051948,,2130.0,1458.0,1.4609053497942386
