size(n), Height(n)/lg n, Height(n)/n
500,2.0076325091596163,0.036
1000,2.1072099696478683,0.021
1500,2.1799404788923247,0.015333333333333332
2000,2.097433197930972,0.0115
2500,2.126205841626695,0.0096
3000,2.164362223889797,0.008333333333333333
3500,2.2084169348103964,0.0074285714285714285
4000,2.1728621694548824,0.0065
4500,2.224839056660287,0.006
5000,2.115934943535302,0.0052
5500,2.173000470183414,0.004909090909090909
6000,2.1512664116086335,0.0045
6500,2.289553697580429,0.004461538461538461
7000,2.1921001209530204,0.004
7500,2.175150095875908,0.0037333333333333333
8000,2.3137821315975917,0.00375
8500,2.2982787126159603,0.0035294117647058825
9000,2.283850787694843,0.0033333333333333335
9500,2.3460478383102155,0.003263157894736842
10000,2.257724967479859,0.003
10500,2.2458280867324985,0.002857142857142857
11000,2.234600934248453,0.0027272727272727275
11500,2.2981098895973946,0.0026956521739130435
12000,2.2876967956805676,0.0025833333333333333
12500,2.2777971290445,0.00248
13000,2.195193053607674,0.002307692307692308
13500,2.2593645910082825,0.0022962962962962963
14000,2.2507577636967175,0.002214285714285714
14500,2.242514927920687,0.0021379310344827587
15000,2.234608701461567,0.0020666666666666667
15500,2.227014598786584,0.002
16000,2.2197106419612775,0.0019375
16500,2.2126770342270476,0.0018787878787878789
17000,2.2770538163380056,0.0018823529411764706
17500,2.199350974114577,0.0017714285714285714
18000,2.334513205675463,0.0018333333333333333
18500,2.25745774352806,0.0017297297297297297
19000,2.251347181829365,0.0016842105263157896
19500,2.2454270731834405,0.001641025641025641
20000,2.309676953410272,0.00165
